12281,12280,12279,13583,26588,48815,54488,54498,54494,54498,54498,54491,54495,54493,54493,54499
54500,54495,54500,54499,54498,54500,54493,54498,54497,54501,54492,54498,54497,54499,54500,54500
54500,54499,54504,54504,54506,54507,54503,54508,54498,54504,54495,54506,54498,54501,54500,54498
54498,54503,54497,54505,54504,54494,54497,54490,54494,54498,54490,54493,54493,54495,54498,54492
54496,54496,54496,54494,54496,54494,54492,54496,54499,54494,54497,54500,54494,54496,54501,54499
54496,54499,54500,54494,54503,54499,54493,54496,54496,54504,54505,54509,54508,54511,54512,54507
54511,54505,54498,54502,54499,54496,54499,54500,54501,54503,54505,54504,54505,54493,54491,54495
54495,54491,54497,54497,54494,54503,54499,54498,54496,54497,54497,54502,54500,54495,54495,54499
54502,54501,54498,54494,54493,54497,54498,54498,54502,54496,54505,54505,54499,54497,54493,54496
54501,54498,54498,54492,54503,54495,54496,54498,54494,54493,54499,54493,54495,54504,54494,54498
54497,54494,54497,54495,54494,54497,54494,54498,54503,54501,54511,54496,54503,54500,54497,54494
54493,54500,54493,54494,54491,54499,54493,54498,54500,54499,54496,54500,54494,54495,54502,54491
54494,54497,54490,54499,54484,54488,54487,54494,54492,54493,54500,54506,54498,54498,54502,54495
54507,54502,54502,54495,54499,54501,54502,54499,54497,54495,54493,54490,54494,54495,54501,54490
54491,54493,54502,54509,54497,54500,54495,54502,54497,54496,54492,54495,54486,54492,54492,54485
54491,54495,54486,54489,54492,54499,54490,54492,54492,54500,54497,54497,54500,54501,54502,54497
54496,54495,54496,54492,54497,54499,54497,54506,54502,54510,54504,54505,54502,54500,54501,54495
54502,54497,54496,54494,54495,54492,54496,54493,54497,54499,54497,54503,54498,54497,54489,54496
54501,54500,54498,54494,54498,54497,54492,54490,54489,54497,54497,54507,54497,54490,54494,54499
54500,54500,54496,54494,54498,54500,54495,54502,54496,54502,54499,54494,54497,54496,54505,54502
54508,54498,54500,54500,54497,54505,54493,54489,54496,54499,54494,54497,54496,54499,54501,54495
54498,54502,54488,54490,54498,54498,54492,54491,54497,54491,54486,54493,54493,54491,54496,54501
54498,54497,54496,54490,54501,54499,54495,54495,54497,54496,54492,54495,54500,54504,54499,54501
54509,54502,54503,54501,54509,54502,54498,54494,54492,54500,54495,54495,54503,54501,54502,54492
54504,54488,54502,54502,54497,54498,54498,54494,54498,54490,54500,54490,54492,54496,54498,54502
