37863,37863,37863,37863,37863,55791,55791,55791,55791,55917,55917,55917,55917,55957,55957,55957,37863
55957,55966,55966,55966,55966,55952,55952,55952,55952,55931,55931,55931,55931,55900,55900,55900,37863
55900,55870,55870,55870,55870,55838,55838,55838,55838,55795,55795,55795,55795,55762,55762,55762,37863
55762,55762,55718,55718,55718,55718,55672,55672,55672,55672,55628,55628,55628,55628,55590,55590,37863
55590,55590,55556,55556,55556,55556,55518,55518,55518,55518,55483,55483,55483,55483,55443,55443,37863
55443,55443,55413,55413,55413,55413,55379,55379,55379,55379,55379,55347,55347,55347,55347,55332,55791
55332,55332,55332,55303,55303,55303,55303,55267,55267,55267,55267,55248,55248,55248,55248,55221,55791
55221,55221,55221,55193,55193,55193,55193,55168,55168,55168,55168,55143,55143,55143,55143,55123,55791
55123,55123,55123,55123,52570,52570,52570,52570,38441,38441,38441,38441,14480,14480,14480,14480,55791
12308,12308,12308,12308,12305,12305,12305,12305,12301,12301,12301,12301,12303,12303,12303,12303,55917
12300,12300,12300,12300,12304,12304,12304,12304,12298,12298,12298,12298,12296,12296,12296,12296,55917
12296,12300,12300,12300,12300,12303,12303,12303,12303,12308,12308,12308,12308,12305,12305,12305,55917
12305,12304,12304,12304,12304,12305,12305,12305,12305,12303,12303,12303,12303,12299,12299,12299,55917
12299,12304,12304,12304,12304,12304,12304,12304,12304,12304,12303,12303,12303,12303,12467,12467,55957
12467,12467,12297,12297,12297,12297,12298,12298,12298,12298,12300,12300,12300,12300,12297,12297,55957
12297,12297,12295,12295,12295,12295,12292,12292,12292,12292,12296,12296,12296,12296,12288,12288,55957
12288,12288,12505,12505,12505,12505,12505,13442,13442,13442,13442,14650,14650,14650,14650,14821,55957
14821,14821,14821,14039,14039,14039,14039,12473,12473,12473,12473,12298,12298,12298,12298,12301,55966
12301,12301,12301,12294,12294,12294,12294,12301,12301,12301,12301,12939,12939,12939,12939,12939,55966
14682,14682,14682,14682,16328,16328,16328,16328,17933,17933,17933,17933,18266,18266,18266,18266,55966
19069,19069,19069,19069,19524,19524,19524,19524,19097,19097,19097,19097,20700,20700,20700,20700,55966
21349,21349,21349,21349,24365,24365,24365,24365,28261,28261,28261,28261,28261,30452,30452,30452,55952
30452,33737,33737,33737,33737,35558,35558,35558,35558,35698,35698,35698,35698,34394,34394,34394,55952
34394,32772,32772,32772,32772,32052,32052,32052,32052,32769,32769,32769,32769,33276,33276,33276,55952
33276,32319,32319,32319,32319,32319,33773,33773,33773,33773,34874,34874,34874,34874,36582,36582,55952
36582,36582,36411,36411,36411,36411,33543,33543,33543,33543,31732,31732,31732,31732,31576,31576,55931
31576,31576,30827,30827,30827,30827,29336,29336,29336,29336,29378,29378,29378,29378,29378,30686,55931
30686,30686,30686,34411,34411,34411,34411,35803,35803,35803,35803,35593,35593,35593,35593,35240,55931
35240,35240,35240,34368,34368,34368,34368,32976,32976,32976,32976,32309,32309,32309,32309,31786,55931
31786,31786,31786,30212,30212,30212,30212,31282,31282,31282,31282,31282,32240,32240,32240,32240,55900
34952,34952,34952,34952,36944,36944,36944,36944,36086,36086,36086,36086,35142,35142,35142,35142,55900
33268,33268,33268,33268,32785,32785,32785,32785,34010,34010,34010,34010,35314,35314,35314,35314,55900
35693,35693,35693,35693,35693,36653,36653,36653,36653,36701,36701,36701,36701,36758,36758,36758,55900
36758,37669,37669,37669,37669,35254,35254,35254,35254,33791,33791,33791,33791,31344,31344,31344,55870
31344,28288,28288,28288,28288,27114,27114,27114,27114,26167,26167,26167,26167,25749,25749,25749,55870
25749,25749,27498,27498,27498,27498,30163,30163,30163,30163,32870,32870,32870,32870,32848,32848,55870
32848,32848,31932,31932,31932,31932,29818,29818,29818,29818,29132,29132,29132,29132,27290,27290,55870
