12278,12279,12278,12278,12280,12274,12276,12276,12278,12277,12275,12274,12275,12274,12273,12275
12276,12274,12279,12279,12278,12276,12281,12280,12278,12279,12280,12280,12281,12275,12278,12274
12279,12278,12278,12280,12281,12279,12279,12281,12281,12281,12275,12278,12278,12278,12280,12278
12278,12277,12277,12275,12278,12274,12275,12275,12279,12278,12279,12280,12282,12280,12277,12278
12279,12279,12278,12277,12278,12281,12279,12283,12280,12279,12277,12281,12280,12281,12280,12280
12285,12281,12277,12280,12279,12277,12277,12276,12279,12279,12277,12276,12281,12281,12281,12278
12280,12278,12281,12280,12276,12280,12278,12277,12277,12276,12280,12276,12276,12279,12282,12282
12277,12278,12280,12279,12282,12280,12280,12275,12278,12278,12279,12278,12278,12278,12279,12279
12281,12278,12278,12282,12281,12278,12277,12280,12281,12283,12279,12281,12278,12280,12280,12282
12280,12282,12282,12282,12277,12279,12283,12278,12278,12283,12278,12283,12282,12279,12282,12279
12281,12279,12277,12282,12278,12280,12280,12280,12279,12279,12277,12278,12279,12286,12281,12280
12282,12278,12281,12278,12278,12281,12282,12279,12283,12280,12281,12280,12283,12280,12285,12281
12281,12283,12278,12281,12280,12278,12281,12278,12279,12279,12279,12282,12282,12277,12280,12280
12281,12283,12280,12280,12279,12277,12277,12278,12280,12279,12278,12285,12276,12279,12284,12278
12278,12279,12276,12276,12279,12276,12277,12277,12276,12280,12280,12277,12278,12280,12279,12278
12277,12278,12281,12277,12279,12279,12279,12281,12278,12277,12279,12277,12279,12279,12279,12278
12279,12280,12279,12278,12282,12281,12278,12280,12282,12280,12280,12280,12278,12278,12279,12278
12276,12276,12277,12277,12277,12278,12278,12279,12279,12282,12280,12280,12278,12279,12276,12280
12276,12280,12275,12278,12276,12282,12279,12280,12277,12278,12276,12279,12280,12277,12277,12278
12278,12280,12276,12278,12277,12279,12281,12278,12277,12276,12280,12279,12280,12279,12277,12280
12279,12281,12280,12277,12276,12280,12282,12280,12279,12276,12280,12277,12277,12277,12280,12279
12278,12277,12278,12281,12277,12281,12280,12275,12279,12278,12279,12276,12278,12279,12279,12279
12281,12281,12281,12279,12280,12283,12280,12279,12276,12280,12281,12281,12280,12278,12281,12280
12279,12281,12278,12275,12280,12275,12278,12276,12278,12276,12279,12278,12277,12276,12276,12276
12278,12273,12280,12278,12283,12275,12280,12277,12278,12280,12279,12277,12278,12275,12281,12277
12278,12280,12276,12276,12276,12277,12277,12280,12277,12279,12280,12280,12277,12280,12281,12278
12279,12276,12279,12278,12280,12280,12278,12278,12278,12281,12279,12276,12277,12281,12281,12280
12278,12278,12275,12274,12275,12277,12277,12278,12278,12280,12276,12276,12277,12276,12276,12280
12277,12279,12277,12278,12276,12276,12274,12276,12275,12273,12275,12271,12276,12279,12277,12278
12277,12275,12280,12274,12275,12278,12282,12276,12273,12281,12278,12279,12277,12282,12279,12280
12278,12277,12280,12278,12279,12283,12283,12282,12278,12280,12280,12277,12280,12278,12278,12278
12276,12277,12280,12277,12279,12278,12278,12276,12276,12273,12279,12276,12275,12275,12278,12279
12276,12275,12277,12276,12275,12278,12278,12275,12279,12277,12279,12275,12276,12276,12276,12277
12277,12274,12278,12277,12281,12282,12279,12284,12281,12278,12276,12281,12275,12279,12277,12277
